DATE,demand,price,ghi
1/1/13 0:00,7166.97,46.61,0
1/1/13 1:00,6734.66,45.54,0
1/1/13 2:00,1580.0,42.86,0
1/1/13 3:00,5789.95,40.745,0
1/1/13 4:00,1787.0,40.695,0
1/1/13 5:00,5631.75,40.155,70
1/1/13 6:00,1990.0,40.575,291
1/1/13 7:00,6090.425,44.78,515
1/1/13 8:00,1261.0,44.89,617
1/1/13 9:00,7058.715,44.85,679
1/1/13 10:00,1659.0,45.705,1009
1/1/13 11:00,7932.285,46.135,1072
1/1/13 12:00,1544.0,48.415,1071
1/1/13 13:00,1907.0,48.64,1007
1/1/13 14:00,8450.725,49.575,746
1/1/13 15:00,8640.205,49.87,709
1/1/13 16:00,1525.0,49.9,501
1/1/13 17:00,8810.045,49.88,280
1/1/13 18:00,8577.565,49.16,78
1/1/13 19:00,8199.27,49.25,0
1/1/13 20:00,1866.0,49.175,0
1/1/13 21:00,7817.905,48.21,0
1/1/13 22:00,7550.57,46.985,0
1/1/13 23:00,7158.38,45.845,0
1/2/13 0:00,6797.15,44.725,0
1/2/13 1:00,6306.92,43.465,0
1/2/13 2:00,5900.14,39.825,0
1/2/13 3:00,1795.0,39.41,0
1/2/13 4:00,5812.245,42.25,0
1/2/13 5:00,6113.015,44.635,79
1/2/13 6:00,6710.74,45.735,273
1/2/13 7:00,7406.975,46.22,486
1/2/13 8:00,1294.0,48.435,688
1/2/13 9:00,8317.385,49.245,858
1/2/13 10:00,8457.685,49.665,976
1/2/13 11:00,8569.96,49.97,1033
1/2/13 12:00,1762.0,49.465,1028
1/2/13 13:00,8561.65,50.16,971
1/2/13 14:00,8519.49,50.585,844
1/2/13 15:00,1265.0,50.33,208
1/2/13 16:00,8458.53,51.025,72
1/2/13 17:00,8314.87,50.23,28
1/2/13 18:00,8029.255,49.515,63
1/2/13 19:00,7872.235,49.735,0
1/2/13 20:00,7758.645,49.615,0
1/2/13 21:00,1530.0,49.56,0
1/2/13 22:00,7383.065,50.165,0
1/2/13 23:00,1948.0,49.645,0
1/3/13 0:00,6793.325,48.435,0
1/3/13 1:00,6364.04,42.35,0
1/3/13 2:00,5915.455,36.795,0
1/3/13 3:00,1294.0,39.13,0
1/3/13 4:00,1806.0,40.325,0
1/3/13 5:00,6150.15,45.435,77
1/3/13 6:00,6688.09,45.465,273
1/3/13 7:00,7349.42,46.65,491
1/3/13 8:00,1908.0,48.435,698
1/3/13 9:00,8130.86,48.71,871
1/3/13 10:00,1619.0,49.275,1002
1/3/13 11:00,1434.0,49.78,1067
1/3/13 12:00,8484.775,49.815,1067
1/3/13 13:00,8548.405,49.82,1004
1/3/13 14:00,8664.73,50.425,879
1/3/13 15:00,1972.0,50.84,705
1/3/13 16:00,9024.1,51.145,498
1/3/13 17:00,9011.595,51.3,278
1/3/13 18:00,1419.0,49.875,78
1/3/13 19:00,1274.0,51.415,0
1/3/13 20:00,1669.0,52.38,0
1/3/13 21:00,8063.675,49.755,0
1/3/13 22:00,7860.705,54.32,0
1/3/13 23:00,1293.0,50.76,0
1/4/13 0:00,7163.965,51.19,0
1/4/13 1:00,6698.045,46.505,0
1/4/13 2:00,6218.67,41.83,0
1/4/13 3:00,1679.0,41.43,0
1/4/13 4:00,6117.165,43.835,0
1/4/13 5:00,6434.24,45.34,76
1/4/13 6:00,7021.89,47.62,274
1/4/13 7:00,7766.21,49.505,495
1/4/13 8:00,8406.49,50.43,704
1/4/13 9:00,1178.0,51.34,879
1/4/13 10:00,9004.2,51.015,1009
1/4/13 11:00,9198.94,50.785,1074
1/4/13 12:00,1183.0,50.885,1073
1/4/13 13:00,1436.0,49.93,1009
1/4/13 14:00,9782.015,51.995,885
1/4/13 15:00,9920.66,49.595,710
1/4/13 16:00,10007.6,50.785,503
1/4/13 17:00,1155.0,50.435,280
1/4/13 18:00,9295.19,51.73,78
1/4/13 19:00,8919.075,54.67,0
1/4/13 20:00,8794.98,50.82,0
1/4/13 21:00,8505.005,51.01,0
1/4/13 22:00,8284.545,56.315,0
1/4/13 23:00,1931.0,51.35,0
1/5/13 0:00,7398.985,52.505,0
1/5/13 1:00,1916.0,51.705,0
1/5/13 2:00,1775.0,49.935,0
1/5/13 3:00,6157.155,48.625,0
1/5/13 4:00,6143.7,45.16,0
